status_id;status_message;link_name;status_type;status_link;date_published;hour_published;num_reactions;num_comments;num_shares;num_likes;num_loves;num_wows;num_hahas;num_sads;num_angrys;num_special
604876072984693_812729702199328;Está querendo ganhar uma moral com o seu chefe? Apresente o protesto como solução para cobrar os devedores! Além do melhor custo-benefício do mercado, é grande a possibilidade de recuperar a dívida em curto prazo: mais de 65% dos títulos e documentos encaminhados para protesto são resolvidos em até 3 dias úteis. Saiba mais em www.protestors.com.br.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/812729702199328/?type=3;2017-01-31;14:14:00;57;1;14;56;1;0;0;0;0;0
604876072984693_810533069085658;Foi protestado e nem imagina por quem? A intimação traz todos os dados do credor, mas se você não tiver ela em mãos, faça a pesquisa na Consulta Nacional de Protesto, descubra em qual Cartório está o protesto e solicite uma certidão positiva. Saiba tudo sobre o protesto em www.protestors.com.br.;giphy.com;link;http://giphy.com/gifs/26xBF8L1y9PMgXJEQ;2017-01-27;13:06:58;25;1;5;22;0;0;3;0;0;0
604876072984693_810407792431519;Mais um município conta com o totem de Consulta Nacional de Protesto (CNP)! A população de Uruguaiana pode pesquisar gratuitamente se o CPF ou CNPJ está protestado. O totem já está instalado no Cartório da cidade, localizado na Rua Tiradentes, 2488.;Cartório de Uruguaiana recebe totem para Consulta Nacional de Protesto;link;http://www.protestors.com.br/noticias/cartorio-de-uruguaiana-recebe-totem-para-consulta-nacional-de-protesto;2017-01-27;08:01:21;372;3;32;363;6;3;0;0;0;0
604876072984693_809413722530926;Após receber a intimação, você terá até três dias úteis para efetuar o pagamento do boleto entregue junto com a intimação e os devidos emolumentos ou procurar o credor para quitar a dívida. Na intimação estão identificados o credor do título ou documento de dívida e o Cartório onde foi registrado o protesto.;Cartórios de Protesto RS;link;http://www.protestors.com.br/para-voce;2017-01-25;14:01:22;13;0;5;13;0;0;0;0;0;0
604876072984693_808618702610428;Em todos os cantos do Rio Grande do Sul há um Cartório de Protesto! São 291 tabelionatos que abrangem os 497 municípios gaúchos. Clique e descubra qual o Cartório mais próximo de você.;Encontre um Cartório de Protesto;link;http://www.protestors.com.br/encontre-um-cartorio-de-protesto;2017-01-24;11:36:00;12;0;3;12;0;0;0;0;0;0
604876072984693_805913222880976;A Itapema FM RS publicou uma matéria com a história da música Dívida, da Ultramen, e nós suspeitamos que o protesto foi a inspiração. Confira:;"Lembra da música ""Dívida"" do Ultramen? Conheça a história por trás da letra - Blog da Itapema";link;http://itapemafm.clicrbs.com.br/blogdaitapema/2017/01/20/lembra-da-musica-divida-do-ultramen-conheca-a-historia-por-tras-da-letra/;2017-01-20;13:08:00;18;0;1;18;0;0;0;0;0;0
604876072984693_805800552892243;Sua empresa está com problema de caixa por causa dos devedores? Proteste! Não deixa a inadimplência acabar com seu negócio. Saiba mais em www.protestors.com.br. Lugar de cobrar dívida é no Cartório de Protesto.;giphy.com;link;http://giphy.com/gifs/26gsolUC4QWT1ImCA;2017-01-20;07:41:44;23;0;4;22;1;0;0;0;0;0
604876072984693_804235359715429;Conheça o novo site dos Cartórios de Protesto do RS! Acesse www.protestors.com.br e descubra o protesto, o jeito mais eficiente de cobrar uma dívida.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/804235359715429/?type=3;2017-01-17;12:52:30;20;2;6;20;0;0;0;0;0;0
604876072984693_803766859762279;Lugar de cobrar dívida é no Cartório de Protesto. Com esse slogan, começamos hoje a campanha de divulgação dos Cartórios de Protesto nas principais rádios do Rio Grande do Sul. Confira como foi a primeira inserção dos Cartórios de Protesto no programa Pretinho Básico, da Rede Atlântida:;;video;https://www.facebook.com/protestors/videos/803766859762279/;2017-01-16;14:30:50;34;6;24;31;3;0;0;0;0;0
604876072984693_802209126584719;Lugar de cobrar dívida é no Cartório de Protesto: mais de 65% dos títulos e documentos encaminhados para protesto são resolvidos em até 3 dias úteis. Saiba mais em www.protestors.com.br.;Lugar de cobrar dívida é no Cartório de Protesto;video;https://www.facebook.com/protestors/videos/802209126584719/;2017-01-14;11:58:00;272;8;145;260;5;1;6;0;0;0
